7,1.11,0.26,-0.11,-0.10,0.06,-0.34,-0.20
6,1.11,0.26,-0.11,-0.10,0.06,-0.34,-0.12
10,1.03,0.26,-0.11,-0.08,0.05,-0.29,-0.02
6,0.96,0.25,-0.14,-0.04,0.08,-0.22,0.09
7,0.96,0.25,-0.14,-0.04,0.08,-0.22,0.22
10,0.91,0.20,-0.21,0.02,0.15,-0.13,0.34
7,0.89,0.14,-0.24,0.09,0.27,-0.05,0.45
6,0.89,0.14,-0.24,0.09,0.27,-0.05,0.54
10,0.91,0.08,-0.25,0.11,0.40,0.01,0.60
6,0.91,0.08,-0.25,0.11,0.40,0.01,0.64
10,0.99,0.03,-0.25,0.12,0.50,0.05,0.66
6,1.06,0.00,-0.26,0.09,0.53,0.07,0.66
7,1.06,0.00,-0.26,0.09,0.53,0.07,0.61
10,1.11,-0.01,-0.28,0.04,0.52,0.06,0.54
7,1.14,-0.01,-0.30,-0.01,0.50,0.04,0.49
6,1.14,-0.01,-0.30,-0.01,0.50,0.04,0.47
10,1.14,0.01,-0.31,-0.07,0.46,0.01,0.48
6,1.14,0.01,-0.31,-0.07,0.46,0.01,0.48
10,1.13,0.05,-0.30,-0.11,0.44,0.00,0.47
6,1.12,0.08,-0.30,-0.13,0.42,-0.00,0.41
6,1.12,0.08,-0.30,-0.13,0.42,-0.00,0.30
10,1.11,0.10,-0.30,-0.13,0.40,0.01,0.16
6,1.09,0.12,-0.29,-0.10,0.38,0.02,-0.02
7,1.09,0.12,-0.29,-0.10,0.38,0.02,-0.21
11,1.07,0.13,-0.28,-0.07,0.35,0.05,-0.36
6,1.07,0.13,-0.28,-0.07,0.35,0.05,-0.48
10,1.04,0.13,-0.27,-0.05,0.30,0.07,-0.54
6,1.01,0.12,-0.26,-0.01,0.26,0.09,-0.54
7,1.01,0.12,-0.26,-0.01,0.26,0.09,-0.51
11,0.98,0.12,-0.26,0.02,0.23,0.11,-0.45
6,0.94,0.11,-0.25,0.06,0.20,0.12,-0.41
6,0.94,0.11,-0.25,0.06,0.20,0.12,-0.40
10,0.90,0.11,-0.25,0.09,0.17,0.13,-0.44
7,0.87,0.10,-0.24,0.11,0.15,0.14,-0.51
6,0.87,0.10,-0.24,0.11,0.15,0.14,-0.62
10,0.83,0.10,-0.24,0.14,0.13,0.15,-0.71
7,0.81,0.10,-0.25,0.16,0.12,0.16,-0.79
6,0.81,0.10,-0.25,0.16,0.12,0.16,-0.85
10,0.79,0.10,-0.24,0.20,0.10,0.17,-0.86
6,0.79,0.10,-0.24,0.20,0.10,0.17,-0.83
10,0.76,0.09,-0.26,0.22,0.09,0.19,-0.78
7,0.75,0.07,-0.26,0.24,0.11,0.20,-0.70
6,0.75,0.07,-0.26,0.24,0.11,0.20,-0.60
10,0.75,0.06,-0.27,0.24,0.12,0.22,-0.49
6,0.75,0.06,-0.27,0.24,0.13,0.24,-0.37
